Temperature (deg F),Dew Point (deg F),Pressure (atm)
75.6,55.3,0.3
75.6,55.4,0.3
75.6,55.4,0.3
75.6,55.5,0.3
75.6,55.5,0.3
75.6,55.6,0.3
75.7,55.6,0.3
75.7,55.6,0.3
75.7,55.7,0.3
75.8,55.7,0.3
75.9,55.7,0.3
75.9,55.8,0.4
75.9,55.8,0.4
76.0,55.9,0.4
76.0,55.9,0.4
76.0,55.9,0.4
76.0,55.9,0.4
76.0,56.0,0.4
76.2,56.0,0.4
76.3,56.0,0.4
76.4,56.1,0.4
76.4,56.1,0.4
76.5,56.2,0.4
76.5,56.3,0.4
76.5,56.3,0.4
76.5,56.3,0.4
76.6,56.3,0.4
76.6,56.3,0.4
76.6,56.5,0.4
76.6,56.5,0.4
76.7,56.6,0.4
76.7,56.6,0.4
76.7,56.6,0.4
76.8,56.6,0.4
76.8,56.7,0.4
76.9,56.7,0.4
76.9,56.7,0.4
76.9,56.7,0.4
77.1,56.8,0.4
77.1,56.8,0.4
77.2,56.8,0.4
77.2,56.8,0.4
77.4,56.8,0.4
77.4,56.9,0.4
77.4,56.9,0.4
77.5,56.9,0.4
77.5,57.0,0.4
77.5,57.0,0.4
77.5,57.0,0.4
77.5,57.0,0.4
77.6,57.1,0.4
77.7,57.1,0.4
77.7,57.1,0.4
77.9,57.1,0.4
78.0,57.1,0.4
78.0,57.1,0.4
78.0,57.2,0.4
78.0,57.2,0.4
78.0,57.3,0.4
78.0,57.4,0.5
78.0,57.4,0.5
78.1,57.4,0.5
78.1,57.4,0.5
78.1,57.4,0.5
78.2,57.5,0.5
78.2,57.5,0.5
78.2,57.5,0.5
78.3,57.5,0.5
78.3,57.6,0.5
78.4,57.6,0.5
78.4,57.6,0.5
78.5,57.8,0.5
78.5,57.8,0.5
78.5,57.8,0.5
78.5,57.8,0.5
78.5,57.9,0.5
78.6,57.9,0.5
78.6,58.0,0.5
78.6,58.1,0.5
78.7,58.3,0.5
78.7,58.3,0.5
78.7,58.3,0.5
78.7,58.3,0.5
78.8,58.4,0.5
78.8,58.5,0.5
78.8,58.5,0.5
78.8,58.5,0.5
78.8,58.6,0.5
78.8,58.6,0.5
78.9,58.6,0.5
78.9,58.6,0.5
78.9,58.7,0.5
78.9,58.7,0.5
78.9,58.8,0.5
79.0,58.8,0.5
79.0,58.9,0.5
79.1,58.9,0.5
79.1,58.9,0.5
79.2,58.9,0.5
79.2,58.9,0.5
79.3,58.9,0.5
79.3,59.1,0.6
79.3,59.2,0.6
79.3,59.2,0.6
79.4,59.2,0.6
79.4,59.3,0.6
79.4,59.3,0.6
79.5,59.3,0.6
79.6,59.4,0.6
79.6,59.4,0.6
79.7,59.4,0.6
79.8,59.4,0.6
79.8,59.5,0.6
79.8,59.5,0.6
80.0,59.6,0.6
80.0,59.7,0.6
80.0,59.7,0.6
80.1,59.7,0.6
80.1,59.7,0.6
80.2,59.7,0.6
80.2,59.7,0.6
80.2,59.8,0.6
80.3,59.8,0.6
80.3,59.8,0.6
80.3,59.8,0.6
80.3,59.8,0.6
80.3,59.9,0.6
80.4,59.9,0.6
80.4,59.9,0.6
80.5,60.0,0.6
80.5,60.0,0.6
80.5,60.0,0.6
80.5,60.1,0.6
80.6,60.1,0.6
80.6,60.1,0.6
80.6,60.1,0.6
80.6,60.1,0.6
80.7,60.2,0.6
80.8,60.3,0.6
80.8,60.3,0.6
80.9,60.3,0.6
81.0,60.4,0.6
81.0,60.4,0.6
81.0,60.5,0.6
81.0,60.5,0.6
81.2,60.6,0.7
81.2,60.6,0.7
81.2,60.6,0.7
81.2,60.6,0.7
81.2,60.6,0.7
81.2,60.7,0.7
81.3,60.8,0.7
81.3,60.8,0.7
81.3,60.9,0.7
81.3,60.9,0.7
81.3,61.0,0.7
81.3,61.0,0.7
81.3,61.1,0.7
81.3,61.1,0.7
81.4,61.1,0.7
81.4,61.2,0.7
81.5,61.2,0.7
81.5,61.2,0.7
81.5,61.3,0.7
81.6,61.3,0.7
81.6,61.3,0.7
81.6,61.3,0.7
81.6,61.4,0.7
81.7,61.4,0.7
81.7,61.4,0.7
81.8,61.6,0.7
81.8,61.6,0.7
81.8,61.6,0.7
81.9,61.7,0.8
81.9,61.7,0.8
81.9,61.7,0.8
82.0,61.9,0.8
82.1,61.9,0.8
82.1,62.0,0.8
82.2,62.0,0.8
82.3,62.1,0.8
82.4,62.1,0.8
82.4,62.2,0.8
82.5,62.2,0.8
82.6,62.2,0.8
82.7,62.2,0.8
82.7,62.3,0.8
82.8,62.3,0.8
82.8,62.3,0.8
82.8,62.4,0.8
82.9,62.5,0.8
83.0,62.6,0.8
83.0,62.7,0.8
83.0,62.7,0.8
83.1,62.8,0.8
83.1,62.8,0.8
83.1,62.8,0.8
83.2,62.9,0.8
83.2,63.1,0.8
83.3,63.1,0.8
83.3,63.1,0.8
83.3,63.1,0.8
83.4,63.1,0.8
83.4,63.1,0.8
83.4,63.3,0.8
83.5,63.3,0.8
83.5,63.4,0.8
83.5,63.4,0.9
83.5,63.5,0.9
83.6,63.5,0.9
83.6,63.7,0.9
83.7,63.8,0.9
83.7,63.9,0.9
83.7,63.9,0.9
83.8,63.9,0.9
83.9,64.0,0.9
84.0,64.0,0.9
84.0,64.0,0.9
84.0,64.1,0.9
84.1,64.2,0.9
84.2,64.2,0.9
84.2,64.2,0.9
84.2,64.3,0.9
84.3,64.3,0.9
84.3,64.4,0.9
84.3,64.4,0.9
84.3,64.6,0.9
84.4,64.6,0.9
84.4,64.6,0.9
84.5,64.7,0.9
84.5,64.7,0.9
84.6,64.7,0.9
84.6,64.7,0.9
84.6,64.8,0.9
84.7,64.9,0.9
84.7,64.9,0.9
85.0,65.0,0.9
85.0,65.0,0.9
85.0,65.0,1.0
85.1,65.0,1.0
85.1,65.1,1.0
85.2,65.1,1.0
85.3,65.1,1.0
85.3,65.1,1.0
85.4,65.2,1.0
85.4,65.2,1.0
85.5,65.2,1.0
85.6,65.2,1.0
85.6,65.4,1.0
85.6,65.5,1.0
85.7,65.7,1.0
85.7,65.7,1.0
85.7,65.9,1.0
85.7,65.9,1.0
85.7,65.9,1.0
85.8,66.0,1.0
85.8,66.1,1.0
85.8,66.1,1.0
85.8,66.3,1.0
85.9,66.3,1.0
85.9,66.3,1.0
85.9,66.4,1.0
85.9,66.4,1.0
85.9,66.5,1.0
86.0,66.5,1.0
86.0,66.6,1.0
86.1,66.6,1.0
86.1,66.6,1.1
86.1,66.7,1.1
86.1,66.7,1.1
86.2,66.7,1.1
86.3,66.7,1.1
86.3,66.8,1.1
86.4,67.0,1.1
86.4,67.0,1.1
86.4,67.1,1.1
86.5,67.1,1.1
86.5,67.1,1.1
86.5,67.1,1.1
86.6,67.1,1.1
86.6,67.2,1.1
86.6,67.2,1.1
86.6,67.3,1.1
86.7,67.3,1.1
86.7,67.3,1.1
86.7,67.4,1.1
86.7,67.4,1.1
86.7,67.4,1.1
86.8,67.4,1.1
86.8,67.4,1.1
86.8,67.5,1.1
86.8,67.5,1.1
86.8,67.5,1.1
86.8,67.6,1.1
86.9,67.6,1.1
86.9,67.6,1.1
86.9,67.7,1.1
87.0,67.7,1.1
87.0,67.8,1.1
87.1,67.8,1.1
87.1,67.8,1.1
87.1,67.9,1.1
87.1,67.9,1.1
87.2,67.9,1.1
87.2,68.0,1.2
87.3,68.1,1.2
87.3,68.2,1.2
87.4,68.2,1.2
87.4,68.3,1.2
87.4,68.3,1.2
87.4,68.4,1.2
87.5,68.4,1.2
87.5,68.4,1.2
87.5,68.5,1.2
87.6,68.5,1.2
87.6,68.6,1.2
87.7,68.6,1.2
87.7,68.6,1.2
87.7,68.6,1.2
87.7,68.6,1.2
87.8,68.7,1.2
87.8,68.8,1.2
87.8,68.9,1.2
87.8,68.9,1.2
87.9,68.9,1.2
87.9,69.0,1.2
87.9,69.2,1.2
87.9,69.3,1.2
87.9,69.3,1.2
88.0,69.3,1.2
88.1,69.3,1.2
88.1,69.4,1.2
88.1,69.4,1.2
88.2,69.5,1.2
88.2,69.5,1.2
88.2,69.7,1.2
88.2,69.7,1.2
88.3,69.7,1.2
88.3,69.8,1.2
88.3,69.8,1.2
88.3,69.9,1.3
88.4,69.9,1.3
88.4,69.9,1.3
88.4,70.0,1.3
88.4,70.0,1.3
88.6,70.0,1.3
88.6,70.0,1.3
88.6,70.0,1.3
88.6,70.1,1.3
88.7,70.1,1.3
88.8,70.2,1.3
88.8,70.2,1.3
88.8,70.2,1.3
88.8,70.3,1.3
88.9,70.3,1.3
88.9,70.4,1.3
88.9,70.4,1.3
88.9,70.4,1.3
88.9,70.4,1.3
89.0,70.5,1.3
89.1,70.5,1.3
89.2,70.5,1.3
89.3,70.7,1.3
89.3,70.7,1.3
89.4,70.8,1.3
89.5,70.9,1.3
89.5,70.9,1.3
89.5,70.9,1.3
89.5,70.9,1.3
89.5,71.0,1.3
89.6,71.1,1.3
89.7,71.1,1.3
89.7,71.1,1.3
89.7,71.1,1.3
89.7,71.2,1.3
89.7,71.2,1.3
89.9,71.2,1.3
90.0,71.3,1.3
90.0,71.3,1.3
90.1,71.3,1.3
90.3,71.4,1.4
90.3,71.4,1.4
90.3,71.4,1.4
90.3,71.4,1.4
90.4,71.5,1.4
90.4,71.5,1.4
90.5,71.5,1.4
90.5,71.6,1.4
90.5,71.6,1.4
90.5,71.7,1.4
90.5,71.8,1.4
90.6,71.8,1.4
90.6,71.9,1.4
90.7,71.9,1.4
90.8,71.9,1.4
90.9,71.9,1.4
90.9,72.0,1.4
90.9,72.0,1.4
91.0,72.1,1.4
91.0,72.1,1.4
91.1,72.1,1.4
91.1,72.2,1.4
91.2,72.3,1.4
91.2,72.3,1.4
91.2,72.4,1.4
91.3,72.4,1.4
91.3,72.4,1.4
91.3,72.5,1.4
91.4,72.5,1.4
91.5,72.6,1.4
91.6,72.6,1.4
91.6,72.7,1.4
91.6,72.7,1.4
91.7,72.7,1.5
91.7,72.7,1.5
91.8,72.7,1.5
91.9,72.8,1.5
91.9,72.8,1.5
91.9,72.8,1.5
91.9,72.9,1.5
92.0,72.9,1.5
92.1,73.0,1.5
92.1,73.1,1.5
92.2,73.1,1.5
92.2,73.1,1.5
92.3,73.1,1.5
92.3,73.1,1.5
92.4,73.3,1.5
92.4,73.4,1.5
92.4,73.4,1.5
92.4,73.4,1.5
92.4,73.5,1.5
92.5,73.5,1.5
92.6,73.5,1.5
92.6,73.6,1.5
92.7,73.6,1.5
92.7,73.7,1.5
92.7,73.8,1.5
92.7,73.8,1.5
92.7,73.8,1.5
92.8,73.9,1.5
92.8,73.9,1.5
92.9,73.9,1.5
92.9,73.9,1.5
93.0,74.0,1.5
93.1,74.0,1.5
93.2,74.1,1.5
93.2,74.2,1.5
93.2,74.2,1.5
93.2,74.2,1.5
93.3,74.2,1.5
93.4,74.3,1.5
93.4,74.3,1.5
93.4,74.3,1.5
93.5,74.3,1.5
93.5,74.4,1.5
93.5,74.5,1.6
93.5,74.5,1.6
93.6,74.6,1.6
93.6,74.7,1.6
93.6,74.7,1.6
93.7,74.8,1.6
93.7,74.8,1.6
93.7,74.8,1.6
93.8,74.8,1.6
93.8,74.9,1.6
93.8,74.9,1.6
93.8,74.9,1.6
93.9,74.9,1.6
94.0,75.0,1.6
94.2,75.1,1.6
94.2,75.1,1.6
94.3,75.2,1.6
94.3,75.2,1.6
94.3,75.2,1.6
94.5,75.2,1.6
94.6,75.3,1.6
94.6,75.3,1.6
94.6,75.3,1.6
94.7,75.3,1.6
94.7,75.3,1.6
94.7,75.3,1.6
94.8,75.4,1.6
94.9,75.4,1.6
94.9,75.4,1.6
95.1,75.5,1.6
95.2,75.5,1.6
95.2,75.5,1.6
95.2,75.6,1.6
95.2,75.6,1.6
95.2,75.7,1.7
95.2,75.7,1.7
95.3,75.7,1.7
95.3,75.7,1.7
95.3,75.8,1.7
95.6,75.8,1.7
95.6,75.9,1.7
95.7,75.9,1.7
95.9,75.9,1.7
95.9,75.9,1.7
95.9,76.0,1.7
96.0,76.0,1.7
96.0,76.0,1.7
96.0,76.1,1.7
96.1,76.1,1.7
96.1,76.2,1.7
96.1,76.2,1.7
96.2,76.2,1.7
96.2,76.3,1.7
96.2,76.4,1.7
96.3,76.4,1.7
96.4,76.4,1.7
96.5,76.5,1.7
96.6,76.5,1.7
96.6,76.8,1.7
96.6,76.9,1.7
96.6,76.9,1.7
96.6,76.9,1.7
96.7,76.9,1.7
96.7,77.0,1.7
96.7,77.0,1.7
96.7,77.1,1.7
96.8,77.1,1.7
96.8,77.1,1.7
96.8,77.2,1.7
96.8,77.3,1.7
96.8,77.3,1.7
96.9,77.3,1.7
96.9,77.3,1.7
97.0,77.3,1.7
97.1,77.4,1.7
97.1,77.4,1.7
97.2,77.4,1.7
97.2,77.4,1.8
97.2,77.4,1.8
97.2,77.5,1.8
97.3,77.5,1.8
97.3,77.5,1.8
97.3,77.6,1.8
97.4,77.6,1.8
97.4,77.6,1.8
97.4,77.7,1.8
97.4,77.7,1.8
97.4,77.7,1.8
97.5,77.8,1.8
97.5,77.8,1.8
97.6,77.9,1.8
97.7,77.9,1.8
97.7,77.9,1.8
97.8,77.9,1.8
97.8,78.0,1.8
97.8,78.1,1.8
97.8,78.2,1.8
97.9,78.2,1.8
97.9,78.2,1.8
97.9,78.2,1.8
97.9,78.3,1.8
97.9,78.3,1.8
98.0,78.4,1.8
98.1,78.4,1.8
98.1,78.4,1.8
98.1,78.4,1.8
98.2,78.4,1.8
98.3,78.4,1.8
98.3,78.4,1.8
98.4,78.5,1.8
98.4,78.5,1.8
98.4,78.5,1.8
98.4,78.5,1.8
98.4,78.5,1.8
98.5,78.5,1.9
98.6,78.6,1.9
98.6,78.6,1.9
98.6,78.6,1.9
98.7,78.6,1.9
98.7,78.7,1.9
98.7,78.7,1.9
98.8,78.7,1.9
98.8,78.7,1.9
98.8,78.8,1.9
98.8,78.8,1.9
98.9,78.9,1.9
99.0,78.9,1.9
99.0,78.9,1.9
99.1,78.9,1.9
99.1,78.9,1.9
99.1,79.0,1.9
99.2,79.0,1.9
99.2,79.0,1.9
99.2,79.0,1.9
99.3,79.0,1.9
99.3,79.1,1.9
99.3,79.1,1.9
99.4,79.2,1.9
99.4,79.2,1.9
99.4,79.2,1.9
99.5,79.3,1.9
99.5,79.4,1.9
99.5,79.4,1.9
99.6,79.5,1.9
99.6,79.6,1.9
99.6,79.6,1.9
99.6,79.6,1.9
99.7,79.6,2.0
99.7,79.6,2.0
99.7,79.6,2.0
99.8,79.7,2.0
99.8,79.7,2.0
99.8,79.7,2.0
99.8,79.7,2.0
99.9,79.8,2.0
99.9,79.8,2.0
99.9,79.9,2.0
100.0,79.9,2.0
100.0,80.0,2.0
